id,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title
1,TsPK-1,1960,1,1,pilot,1961,Vostok 1
2,TsPK-1,1960,1,1,pilot,1961,Vostok 2
3,NASA Astronaut Group 1,1959,1,2,pilot,1962,MA-6
4,NASA Astronaut Group 2,1959,2,2,PSP,1998,STS-95
5,NASA- 1,1959,1,1,Pilot,1962,Mercury-Atlas 7
6,TsPK-1,1960,1,2,pilot,1962,Vostok 3
7,TsPK-2,1960,2,2,pilot,1970,Soyuz 9
8,TsPK-1,1960,1,2,pilot,1962,Vostok 4
9,TsPK-2,1960,2,2,commander,1974,Soyuz 14
10,1959 NASA group 1,1959,1,3,pilot,1962,Mercury-Atlas 8
11,1960 NASA group 1,1959,2,3,commander,1965,Gemini 6A
12,1961 NASA group 1,1959,3,3,commander,1968,Apollo 7
13,NASA- 1,1959,1,2,pilot,1963,Mercury-Atlas 9
14,NASA- 1,1959,2,2,commander,1965,Gemini 5
15,TsPK-1,1960,1,3,pilot,1963,Vostok 5
16,TsPK-2,1960,2,3,commander,1976,Soyuz 22
17,TsPK-3,1960,3,3,commander,1978,Soyuz 31/29
18,VVS Women,1962,1,1,pilot,1963,Vostok 6
19,TsPK-1,1960,1,2,commander,1964,Voskhod 1
20,TsPK-2,1960,2,2,commander,1967,Soyuz 1
21,Voskhod-1 / TsKBEM-1,1964,1,1,MSP,1964,Voskhod 1
22,Voskhod-1,1964,1,1,MSP,1964,Voskhod 1
23,TsPK-1,1960,1,1,commander,1965,Voskhod 2
24,TsPK-1,1960,1,2,pilot,1965,Voskhod 2
25,TsPK-2,1960,2,2,commander,1975,Soyuz 19
26,NASA Astronaut Group 2,1959,1,1,commander,1965,Gemini 3
27,1962 NASA group 2,1962,1,6,pilot,1965,Gemini 3
28,1963 NASA group 2,1962,2,6,pilot,1966,Gemini 10
29,1964 NASA group 2,1962,3,6,pilot,1969,Apollo 10
30,1965 NASA group 2,1962,4,6,commander,1972,Apollo 16
31,1966 NASA group 2,1962,5,6,commander,1981,STS-1
32,1967 NASA group 2,1962,6,6,commander,1983,STS-9
33,NASA- 2,1962,1,2,commander,1965,Gemini 4
34,NASA- 2,1962,2,2,commander,1969,Apollo 9
35,1962 NASA group 2,1962,1,1,pilot,1965,Gemini 4
36,NASA- 2,1962,1,4,pilot,1965,Gemini 5
37,NASA- 2,1962,2,4,commander,1966,Gemini 11
38,NASA- 2,1962,3,4,commander,1969,Apollo 12
39,NASA- 2,1962,4,4,commander,1973,Skylab 2
40,NASA- 2,1962,1,2,commander,1965,Gemini 7
41,NASA- 2,1962,2,2,commander,1968,Apollo 8
42,NASA- 2,1962,1,4,pilot,1965,Gemini 7
43,NASA- 2,1962,2,4,commander,1966,Gemini 12
44,NASA- 2,1962,3,4,pilot,1968,Apollo 8
45,NASA- 2,1962,4,4,commander,1970,Apollo 13
46,1996 NASA group,1962,1,4,pilot,1965,gemini 6A
47,1996 NASA group,1962,2,4,commander,1966,Gemini 9A
48,1996 NASA group,1962,3,4,commander,1969,Apollo 10
49,1996 NASA group,1962,4,4,commander,1975,ASTP
50,"1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2",1962,1,2,commander,1966,Gemini 8
51,"1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2",1962,2,2,commander,1969,Apollo 11
52,1963 NASA group 3,1963,1,3,pilot,1966,Gemini 8
53,1963 NASA group 3,1963,2,3,pilot,1969,Apollo 9
54,1963 NASA group 3,1963,3,3,commander,1971,Apollo 15
55,NASA- 3,1963,1,3,pilot,1966,Gemini 9A
56,NASA- 3,1963,2,3,pilot,1969,Apollo 10
57,NASA- 3,1963,3,3,commander,1972,Apollo 17
58,NASA- 3,1963,1,2,pilot,1966,Gemini 10
59,NASA- 3,1963,2,2,pilot,1969,Apollo 11
60,NASA Astronaut Group 3,1963,1,2,pilot,1966,Gemini 11
61,NASA Astronaut Group 4,1963,2,2,pilot,1969,Apollo 12
62,NASA- 3,1963,1,2,pilot,1966,Gemini 12
63,NASA- 3,1963,2,2,pilot,1969,Apollo 11
64,NASA- 3,1963,1,1,pilot,1968,Apollo 7
65,NASA- 3,1963,1,1,pilot,1968,Apollo 7
66,NPOE-4,1978,2,3,flight engineer,1985,Salyut 7
67,NPOE-4,1978,3,3,flight engineer,1988,2
68,1978 Intercosmos Group,1978,1,1,flight engineer,1981,Soyuz 39
69,NASA- 7,1969,1,4,pilot,1981,STS-1
70,NASA- 7,1969,2,4,commander,1983,STS-7
71,NASA- 7,1969,3,4,commander,1984,STS-41-C
72,NASA- 7,1969,4,4,commander,1984,STS-41-G
73,1978 Intercosmos Group,1978,1,1,MSP,1981,Soyuz 40
74,NASA- 5,1966,1,2,commander,1981,STS-2
75,NASA- 5,1966,2,2,commander,1985,STS-51-I
76,1965 USAF MOL group 1,1969,1,2,pilot,1981,STS-2
77,1965 USAF MOL group 1,1969,2,2,commander,1983,STS-8
78,"USAF MOL Group 2 
 NASA- 7",1969,1,2,pilot,1982,STS-3
79,"USAF MOL Group 2 
 NASA- 7",1969,2,2,commander,1985,STS-51-F
80,TsPK-5,1970,1,1,commander,1982,Salyut 7
81,CNES-1,1980,1,3,MSP,1982,Salyut 7
82,CNES-1,1980,2,3,MSP,1988,Mir Aragatz
83,CNES-1,1980,3,3,MSP,1997,STS-86
84,NASA Astronaut Group 7,1969,1,3,pilot,1982,STS-4
85,NASA Astronaut Group 7,1969,2,3,commander,1984,STS-41-D
86,NASA Astronaut Group 7,1969,3,3,commander,1985,STS-61-A
87,NPOE-4,1978,1,4,flight engineer,1982,Salyut 7
88,TsPK-2,1964,1,1,commander,1968,Soyuz 3
89,NASA- 3,1963,1,1,pilot,1968,Apollo 8
90,TsPK-2,1963,1,3,commander,1969,Soyuz 4
91,TsPK-3,1963,2,3,commander,1969,Soyuz 8
92,TsPK-4,1963,3,3,commander,1971,Soyuz 10
93,TsPK-1,1960,1,2,commander,1969,Soyuz 5
94,TsPK-1,1960,2,2,commander,1976,Soyuz 21
95,Korolyov-Group / Mishin-Group / TsKBEM-1,1968,1,3,flight engineer,1969,Soyuz 5/4
96,Korolyov-Group / Mishin-Group / TsKBEM-2,1968,2,3,flight engineer,1969,Soyuz 8
97,Korolyov-Group / Mishin-Group / TsKBEM-3,1968,3,3,flight engineer,1971,Soyuz 10
98,TsPK-1,1960,1,1,MSP,1969,Soyuz 5/4
99,1963 NASA group 3,1963,1,1,pilot,1969,apollo 9
100,TsPK-1,1960,1,1,commander,1969,Soyuz 6
101,Korolyov-Group / Mishin-Group / TsKBEM-1,1968,1,3,flight engineer,1969,Soyuz 6
102,Korolyov-Group / Mishin-Group / TsKBEM-2,1968,2,3,flight engineer,1975,Soyuz 19
103,Korolyov-Group / Mishin-Group / TsKBEM-3,1968,3,3,commander,1980,Soyuz 36/35
104,TsPK-2,1963,1,2,commander,1969,Soyuz 7
105,TsPK-3,1963,2,2,commander,1974,Soyuz 16
106,Korolyov-Group / Mishin-Group / TsKBEM-1,1968,1,2,flight engineer,1969,Soyuz 7
107,Korolyov-Group / Mishin-Group / TsKBEM-1,1968,2,2,flight engineer,1971,Soyuz 11
108,TsPK-1,1960,1,3,MSP,1969,Soyuz 7
109,TsPK-2,1960,2,3,commander,1977,Soyuz 24
110,TsPK-3,1960,3,3,commander,1980,Soyuz 37/36
111,1963 NASA group 3,1963,1,2,pilot,1969,Apollo 12
112,1963 NASA group 3,1963,2,2,commander,1973,Skylab 3
113,1966 NASA group 5,1966,1,1,pilot,1970,Apollo 13
114,NASA Astronaut Group 5,1966,1,1,pilot,1970,Apollo 13
115,Mishin-Group / TsKBEM-1,1968,1,2,flight engineer,1970,Soyuz 9
116,Mishin-Group / TsKBEM-2,1968,2,2,flight engineer,1975,Soyuz 18
117,1959 NASA group 1,1959,2,2,commander,1971,Apollo 14
118,1966 NASA group 5,1966,1,1,pilot,1971,Apollo 14
119,NASA- 5,1966,1,1,pilot,1971,Apollo 14
120,Korolyov-Group / Mishin-Group / TsKBEM-1,1968,1,3,flight engineer,1971,Soyuz 10
121,Korolyov-Group / Mishin-Group / TsKBEM-2,1968,2,3,flight engineer,1974,Soyuz 16
122,Korolyov-Group / Mishin-Group / TsKBEM-3,1968,3,3,commander,1979,Soyuz 33
123,TsPK-2,1963,1,1,commander,1971,Soyuz 11
124,TsKBEM-1,1968,1,1,flight engineer,1971,Soyuz 11
125,1966 NASA group 5,1966,1,1,pilot,1971,Apollo 15
126,NASA- 5,1966,1,1,pilot,1971,Apollo 15
127,NASA- 5,1966,1,3,pilot,1972,Apollo 16
128,NASA- 5,1966,2,3,commander,1982,STS-4
129,NASA- 5,1966,3,3,commander,1985,STS-151-C
130,NASA- 5,1966,1,1,pilot,1972,Apollo 16
131,NASA- 5,1966,1,1,pilot,1972,Apollo 17
132,NASA-4,1965,1,1,pilot,1972,Apollo 17
133,1966 NASA group 5,1966,1,2,pilot,1973,Skylab-2
134,1966 NASA group 5,1966,2,2,commander,1983,STS-6
135,NASA- 4,1965,1,1,MSP,1973,Skylab 2
136,NASA- 5,1966,1,2,pilot,1973,Skylab 3
137,NASA- 5,1966,2,2,commander,1982,STS-3
138,NASA Astronaut Group 4,1965,1,2,MSP,1973,Skylab 3
139,NASA Astronaut Group 5,1965,2,2,MSP,1983,STS-9
140,Voskhod-1 / TsPK-3,1964,1,1,commander,1973,Soyuz 12
141,Korolyov-Group / Mishin-Group / TsKBEM-1,1968,1,3,flight engineer,1973,Soyuz 12
142,Korolyov-Group / Mishin-Group / TsKBEM-2,1968,2,3,flight engineer,1978,Soyuz 27/26
143,Korolyov-Group / Mishin-Group / TsKBEM-3,1968,3,3,flight engineer,1980,Soyuz T­3
144,NASA- 5,1966,1,1,commander,1974,Skylab 4
145,NASA-5,1966,1,1,pilot,1973,Skylab 4
146,NASA Astronaut Group 4,1965,1,1,MSP,1973,Skylab 4
147,TsPK-3,1965,1,3,commander,1973,Soyuz 13
148,TsPK-4,1965,2,3,commander,1975,Saluyt 4
149,TsPK-5,1965,3,3,commander,1978,Saluyt 6
150,TsKBEM-2 / AN-4,1972,1,2,flight engineer,1973,Soyuz 13
151,TsKBEM-2 / AN-5,1972,2,2,flight engineer,1982,Salyut 7
152,TsPK-2,1963,1,1,flight engineer,1974,Soyuz 14
153,TsPK-3,1965,1,1,commander,1974,Soyuz 15
154,TsPK-2,1963,1,1,flight engineer,1974,Soyuz 15
155,TsPK-2,1963,1,2,commander,1975,Salyut 4
156,TsPK-3,1963,2,2,commander,1978,Salyut 6
157,Korolyov-Group / Mishin-Group / TsKBEM-1 / AN-3,1968,1,3,flight engineer,1975,Salyut 4
158,Korolyov-Group / Mishin-Group / TsKBEM-1 / AN-4,1968,2,3,flight engineer,1977,Salyut 6
159,Korolyov-Group / Mishin-Group / TsKBEM-1 / AN-5,1968,3,3,flight engineer,1985,Soyuz 7
160,NASA- 5,1966,1,4,pilot,1975,ASTP
161,NASA- 5,1966,2,4,commander,1982,STS-5
162,NASA- 5,1966,3,4,commander,1984,STS-41-B
163,NASA- 5,1966,4,4,commander,1990,STS-35
164,1959 NASA group 1,1959,1,1,pilot,1975,ASTP
165,TsPK-2,1963,1,1,flight engineer,1976,Soyuz 21
166,TsKBEM-3,1973,1,2,flight engineer,1976,Soyuz 22
167,TsKBEM-4,1973,2,2,flight engineer,1980,Soyuz T­2
168,TsPK-3,1965,1,1,commander,1976,Soyuz 23
169,TsPK-3,1965,1,1,flight engineer,1976,Soyuz 23
170,TsPK-3,1965,1,1,flight engineer,1977,Soyuz 24
171,TsPK-4,1967,1,3,commander,1977,Soyuz 25
172,TsPK-5,1967,2,3,commander,1978,Salyut 6
173,TsPK-6,1967,3,3,commander,1981,Salyut 6
174,TsKBEM-3,1973,1,4,flight engineer,1977,Soyuz 25
175,TsKBEM-3,1973,2,4,flight engineer,1979,Salyut 6
176,TsKBEM-3,1973,3,4,flight engineer,1980,Salyut 6
177,TsKBEM-3,1973,4,4,MSP,1998,STS­ 91
178,TsPK-5,1970,1,3,commander,1977,Soyuz 26/27
179,TsPK-5,1970,2,3,commander,1980,Soyuz 38
180,TsPK-5,1970,3,3,commander,1987,2
181,TsPK-5,1970,1,5,commander,1978,Soyuz 27/26
182,TsPK-5,1970,2,5,commander,1981,Soyuz 39
183,TsPK-5,1970,3,5,commander,1982,Salyut 7
184,TsPK-5,1970,4,5,commander,1984,Salyut 7
185,TsPK-5,1970,5,5,commander,1985,Salyut 7
186,Air Gorce Group 6 - USSR,1976,1,1,pilot,1978,Soyuz 28
187,TsKBEM-3,1973,1,2,flight engineer,1978,Salyut 6
188,TsKBEM-4,1973,2,2,flight engineer,1982,Salyut 7
189,1976 Intercosmos Group,1976,1,1,pilot,1978,Soyuz 30
190,Interkosmos-1,1976,1,1,MSP,1978,Soyuz 31
191,TsPK-4,1967,1,3,commander,1979,Salyut 6
192,TsPK-4,1967,2,3,commander,1983,Salyut 7
193,TsPK-4,1967,3,3,commander,1988,3
194,1978 Intercosmos Group,1978,1,1,pilot,1979,Soyuz 33
195,TsPK-5,1970,1,3,commander,1980,Salyut 6
196,TsPK-6,1970,2,3,commander,1981,Salyut 6
197,TsPK-7,1970,3,3,commander,1982,Salyut 7
198,1978 Intercosmos Group,1978,1,1,pilot,1980,Soyuz 36/35
199,TsPK-4,1967,1,2,commander,1980,Salyut 7
200,TsPK-5,1967,2,2,commander,1984,Salyut 7
201,1979 Intercosmos Group,1979,1,1,MSP,1980,Salyut 6
202,1978 Intercosmos Group,1978,1,1,pilot,1980,Soyuz 38
203,TsPK-3,1965,1,3,commander,1980,Salyut 6
204,TsPK-4,1965,2,3,commander,1984,Salyut 7
205,TsPK-5,1965,3,3,commander,1986,1
206,TsKBEM-3,1973,1,5,MSP,1980,Salyut 6
207,TsKBEM-3,1973,2,5,flight engineer,1983,Soyuz T­8
208,TsKBEM-3,1973,3,5,flight engineer,1984,Salyut 7
209,TsKBEM-3,1973,4,5,flight engineer,1990,7
210,TsKBEM-3,1973,5,5,flight engineer,1995,18
211,NPOE-4,1978,1,3,flight engineer,1981,Salyut 6
212,NPOE-4,1978,2,4,MSP,1983,Soyuz T­8
213,NPOE-4,1978,3,4,flight engineer,1990,5
214,NPOE-4,1978,4,4,flight engineer,1993,14
215,MAP,1980,1,2,MSP,1982,Salyut 7
216,MAP,1980,2,2,flight engineer,1984,Salyut 7
217,MOL-2 / NASA-7,1966,1,2,pilot,1982,STS-5
218,MOL-2 / NASA-7,1966,2,2,commander,1985,STS-51-B
219,NASA- 6,1967,1,2,MSP,1982,STS-5
220,NASA- 6,1967,2,2,MSP,1984,STS-51-A
221,NASA- 6,1967,1,1,MSP,1982,STS-5
222,"1966 USAF MOL Gropu 2, NASA- 7",1969,1,3,pilot,1983,STS-6
223,"1966 USAF MOL Gropu 2, NASA- 7",1969,2,3,commander,1985,STS-51-D
224,"1966 USAF MOL Gropu 2, NASA- 7",1969,3,3,commander,1985,STS-51-J
225,MOL-3 / NASA-7,1969,1,1,MSP,1983,STS-6
226,NASA-6,1967,1,6,MSP,1983,STS-6
227,NASA-6,1967,2,6,MSP,1985,STS-51F
228,NASA-6,1967,3,6,MSP,1989,STS-33
229,NASA-6,1967,4,6,MSP,1991,STS-44
230,NASA-6,1967,5,6,MSP,1993,STS-61
231,NASA-6,1967,6,6,MSP,1996,STS-80
232,TsPK-6,1976,1,4,commander,1983,Soyuz T­8
233,TsPK-7,1976,2,4,commander,1988,3
234,TsPK-8,1976,3,4,MSP,1995,STS­63
235,TsPK-9,1976,4,4,commander,1997,24
236,NASA Astronaut Group 8,1978,1,3,pilot,1983,STS-7
237,NASA Astronaut Group 8,1978,2,3,commander,1984,STS-51-A
238,NASA Astronaut Group 8,1978,3,3,commander,1988,STS-26
239,NASA- 8,1978,1,2,MSP,1983,STS-7
240,NASA- 8,1978,2,2,MSP,1985,STS-51-G
241,NASA-8,1978,1,2,MSP,1983,STS-7
242,NASA-8,1978,2,2,MSP,1984,STS-41-G
243,1978 NASA group,1978,1,5,MSP,1983,STS-7
244,1978 NASA group,1978,2,5,MSP,1985,STS-51B
245,1978 NASA group,1978,3,5,MSP,1989,STS-30
246,1978 NASA group,1978,4,5,MSP,1992,STS-42
247,1978 NASA group,1978,5,5,MSP,1995,18
248,NPOE-4,1978,1,2,flight engineer,1983,Salyut 7
249,NPOE-4,1978,2,2,flight engineer,1987,2
250,NASA- 8,1978,1,4,pilot,1983,STS-8
251,NASA- 8,1978,2,4,commander,1985,STS-51-G
252,NASA- 8,1978,3,4,commander,1990,STS-32
253,NASA- 8,1978,4,4,commander,1992,STS-49
254,NASA- 8,1978,1,4,MSP,1983,STS-8
255,NASA- 8,1978,2,4,MSP,1985,STS-61-A
256,NASA- 8,1978,3,4,MSP,1991,STS-39
257,NASA- 8,1978,4,4,MSP,1992,STS-53
258,NASA Astronaut Group 8,1978,1,2,MSP,1983,STS-8
259,NASA Astronaut Group 8,1978,2,2,MSP,1984,STS-51A
260,1967 NASA group,1967,1,2,MSP,1983,STS-8
261,1967 NASA group,1967,2,2,MSP,1985,STS-51-B
262,1978 NASA group 8,1978,1,3,pilot,1983,STS-9
263,1979 NASA group 8,1978,2,3,commander,1985,STS-61-B
264,1980 NASA group 8,1978,3,3,commander,1989,STS-28
265,NASA-6,1967,1,2,MSP,1983,STS-9
266,NASA-6,1967,2,2,MSP,1990,STS-35
267,NASA-9,1982,1,2,PSP,1983,Spacelab 1
268,NASA-9,1982,2,2,PSP,1992,Atlas-1
269,ESA-1,1978,1,3,PSP,1983,STS-9
270,ESA-1,1978,2,3,PSP,1992,STS-42
271,ESA-1,1978,3,3,MSP,1994,Euromir 94
272,NASA Astronaut Group 8,1978,1,5,pilot,1984,STS-41-B
273,NASA Astronaut Group 8,1978,2,5,commander,1986,STS-61-C
274,NASA Astronaut Group 8,1978,3,5,commander,1988,STS-27
275,NASA Astronaut Group 8,1978,4,5,commander,1992,STS-47
276,NASA Astronaut Group 8,1978,5,5,commander,1995,STS-71
277,NASA- 8,1978,1,2,MSP,1984,STS-41-B
278,NASA- 8,1978,2,2,MSP,1986,STS-51-L
279,1978 NASA group,1978,1,2,MSP,1984,STS-41 B
280,1978 NASA group,1978,2,2,MSP,1985,STS-51 J
281,NASA- 5,1966,1,2,MSP,1984,STS-41-B
282,NASA- 5,1966,2,2,MSP,1990,STS-31
283,NPOE-4,1978,1,2,flight engineer,1984,Salyut 7
284,NPOE-4,1978,2,2,flight engineer,1986,1
285,AMN,1983,1,1,MSP,1984,Salyut 7
286,1982 Soviet Intercosmos Space Program,1982,1,1,pilot,1984,Salyut 7
287,1978 NASA group 8,1978,1,2,pilot,1984,STS-41-C
288,1978 NASA group 8,1978,2,2,commander,1986,STS-51-L
289,NASA Astronaut Group 8,1978,1,1,MSP,1984,STS-41-C
290,1978 NASA group,1978,1,2,MSP,1984,STS-41 C
291,1978 NASA group,1978,2,2,MSP,1985,STS-51I
292,NASA-8,1978,1,3,MSP,1984,STS-41C
293,NASA-8,1978,2,3,MSP,1986,STS-61C
294,NASA-8,1978,3,3,MSP,1988,STS-26
295,LII-1,1977,1,1,MSP,1984,Salyut 7
296,NASA- 8,1978,1,3,pilot,1984,STS-41-D
297,NASA- 8,1978,2,3,commander,1989,STS-29
298,NASA- 8,1978,3,3,commander,1991,STS-39
299,NASA-8,1978,1,3,MSP,1984,STS-41D
300,NASA-8,1978,2,3,MSP,1988,STS-27
301,NASA-8,1978,3,3,MSP,1990,STS-36
302,NASA Astronaut Group 8,1978,1,5,MSP,1984,STS-41-D
303,NASA Astronaut Group 8,1978,2,5,MSP,1986,STS-61-C
304,NASA Astronaut Group 8,1978,3,5,MSP,1990,STS-31
305,NASA Astronaut Group 8,1978,4,5,MSP,1997,STS-82
306,NASA Astronaut Group 8,1978,5,5,MSP,1999,STS-93
307,NASA-8,1978,1,2,MSP,1984,STS-41-D
308,NASA-9,1978,2,2,MSP,1985,STS-51-L
309,PS,1983,1,3,PSP,1984,STS-41D
310,PS,1983,2,3,PSP,1985,STS-51D
311,PS,1983,3,3,PSP,1985,STS-61B
312,NASA- 8,1978,1,1,pilot,1984,STS-41-G
313,1978 NASA group,1978,1,3,MSP,1984,STS-41-G
314,1978 NASA group,1978,2,3,MSP,1990,STS-31
315,1978 NASA group,1978,3,3,MSP,1992,STS-45
316,NASA- 9,1980,1,3,MSP,1984,STS-41-G
317,NASA- 9,1980,2,3,MSP,1989,STS-28
318,NASA- 9,1980,3,3,MSP,1992,STS-45
319,PS,1984,1,1,PSP,1984,STS-41-G
320,1983 NRC Group,1983,1,3,PSP,1984,STS-41-G
321,1983 NRC Group,1983,2,3,MSP,1996,STS-77
322,1983 NRC Group,1983,3,3,MSP,2000,STS-97
323,1978 NASA group 8,1978,1,4,pilot,1984,STS-51-A
324,1978 NASA group 8,1978,2,4,commander,1989,STS-30
325,1978 NASA group 8,1978,3,4,commander,1992,STS-53
326,1978 NASA group 8,1978,4,4,commander,1995,STS-69
327,NASA- 8,1978,1,1,MSP,1984,STS-51-A
328,1978 NASA group,1978,1,3,pilot,1985,STS-51-C
329,1978 NASA group,1978,2,3,commander,1990,STS-31
330,1978 NASA group,1978,3,3,commander,1992,STS-46
331,NASA-8,1978,1,2,MSP,1985,STS 51-C
332,NASA-8,1978,2,2,MSP,1986,STS 51-L
333,NASA- 8,1978,1,4,MSP,1985,STS-51-C
334,NASA- 8,1978,2,4,MSP,1985,STS-61-A
335,NASA- 8,1978,3,4,MSP,1989,STS-29
336,NASA- 8,1978,4,4,MSP,1991,STS-48
337,1979 USAF group,1979,1,1,PSP,1985,STS-51C
338,1981 NASA group 8,1978,1,2,pilot,1985,STS-51-D
339,1981 NASA group 8,1978,2,2,commander,1989,STS-34
340,NASA-8,1978,1,3,MSP,1985,STS-51-D
341,NASA-8,1978,2,3,MSP,1991,STS-40
342,NASA-8,1978,3,3,MSP,1993,STS-58
343,NASA Astronaut Group 8,1978,1,1,MSP,1985,STS-51-D
344,NASA- 8,1978,1,5,MSP,1985,STS-51-D
345,NASA- 8,1978,2,5,MSP,1990,STS-35
346,NASA- 8,1978,3,5,MSP,1992,STS-46
347,NASA- 8,1978,4,5,MSP,1993,STS-61
348,NASA- 8,1978,5,5,MSP,1996,STS-75
349,PS,1985,1,1,PSP,1985,STS-51D
350,NASA Astronaut Group 8,1978,1,3,pilot,1985,STS-51-B
351,NASA Astronaut Group 8,1978,2,3,commander,1989,STS-33
352,NASA Astronaut Group 8,1978,3,3,commander,1991,STS-44
353,NASA- 5,1966,1,1,MSP,1985,STS-51-B
354,PS,1983,1,1,PSP,1985,Spacelab-3
355,Spacelab-3 mission payload specialist,1984,1,1,PSP,1985,spacelab-3
356,NASA- 8,1978,1,3,pilot,1985,STS-51-G
357,NASA- 8,1978,2,3,commander,1990,STS-36
358,NASA- 8,1978,3,3,commander,1991,STS-48
359,NASA-8,1978,1,4,MSP,1985,STS-51G
360,NASA-8,1978,2,4,pilot,1985,STS-61A
361,NASA-8,1978,3,4,commander,1991,STS-37
362,NASA-8,1978,4,4,commander,1993,STS-55
363,NASA- 8,1978,1,5,MSP,1985,STS-51-G
364,NASA- 8,1978,2,5,MSP,1989,STS-34
365,NASA- 8,1978,3,5,MSP,1991,STS-43
366,NASA- 8,1978,4,5,MSP,1993,STS-58
367,NASA- 8,1978,5,5,MSP,1996,22
368,CNES-1,1980,1,1,PSP,1985,STS-51G
369,Saudi-Arabia,1985,1,1,PSP,1985,STS-51G
370,NASA- 9,1980,1,1,pilot,1985,STS-51-F
371,NASA- 6,1967,1,1,MSP,1985,STS-51-F
372,NASA- 6,1967,1,1,MSP,1985,STS-51-F
373,PS for Spacelab-2,1978,1,1,PSP,1978,Spacelab-2
374,PS for Spacelab-2,1978,1,1,PSP,1978,STS-51-F
375,NASA- 8,1978,1,4,pilot,1985,STS-51-I
376,NASA- 8,1978,2,4,pilot,1988,STS-26
377,NASA- 8,1978,3,4,commander,1990,STS-38
378,NASA- 8,1978,4,4,commander,1993,STS-61
379,NASA- 9,1980,1,3,MSP,1985,STS-51-I
380,NASA- 9,1980,2,3,MSP,1988,STS-26
381,NASA- 9,1980,3,3,MSP,1990,STS-35
382,NASA- 9,1980,1,1,MSP,1985,STS-51-I
383,TsPK-6,1976,1,1,commander,1985,Salyut 7
384,TsPK-6,1976,1,3,MSP,1985,Salyut 7
385,TsPK-6,1976,2,3,MSP,1989,4
386,TsPK-6,1976,3,3,MSP,1992,10
387,NASA Astronaut Group 9,1980,1,4,pilot,1985,STS-51-J
388,NASA Astronaut Group 10,1980,2,4,pilot,1989,STS-30
389,NASA Astronaut Group 11,1980,3,4,commander,1992,STS-42
390,NASA Astronaut Group 12,1980,4,4,commander,1993,STS-57
391,NASA- 9,1980,1,4,MSP,1985,STS-51-J
392,NASA- 10,1980,2,4,MSP,1988,STS-26
393,NASA- 11,1980,3,4,MSP,1990,STS-36
394,NASA- 12,1980,4,4,MSP,1992,STS-42
395,USAF group,1982,1,1,PSP,1985,STS-51-J
396,NASA- 9,1980,1,5,MSP,1985,STS-61-A
397,NASA- 9,1980,2,5,MSP,1990,STS-32
398,NASA- 9,1980,3,5,MSP,1992,STS-50
399,NASA- 9,1980,4,5,MSP,1995,STS-71
400,NASA- 9,1980,5,5,MSP,1998,STS-89
401,DLR-1,1982,1,1,PSP,1985,STS-61A
402,DLR-1,1982,1,1,PSP,1985,STS-61A
403,1978 ESA Group,1978,1,1,PSP,1985,STS-61-A
404,NASA-9,1980,1,2,pilot,1985,STS-61B Atlantis
